"state", "date_peak", "cases_peak"
"central_african_republic", "06/06/20", "112"
"central_african_republic", "10/01/20", "6"
"central_african_republic", "11/10/20", "3"
"central_african_republic", "12/28/20", "2"
"central_african_republic", "04/21/21", "71"
"central_african_republic", "08/12/21", "586"
"central_african_republic", "11/10/21", "12"
"central_african_republic", "01/12/22", "124"
"central_african_republic", "03/13/22", "47"
"chad", "05/07/20", "29"
"chad", "07/26/20", "5"
"chad", "10/09/20", "12"
"chad", "01/12/21", "51"
"chad", "07/14/21", "1"
"chad", "09/11/21", "3"
"chad", "12/01/21", "85"
"chad", "01/02/22", "69"
"chad", "04/04/22", "6"
"chad", "06/18/22", "1"
"chile", "06/09/20", "5,762"
"chile", "01/23/21", "3,718"
"chile", "04/11/21", "6,527"
"chile", "06/05/21", "6,504"
"chile", "11/13/21", "2,226"
"chile", "02/12/22", "31,553"
"chile", "06/11/22", "9,747"
"china", "02/12/20", "4,216"
"china", "04/03/20", "295"
"china", "06/16/20", "43"
"china", "07/28/20", "89"
"china", "11/02/20", "75"
"china", "01/15/21", "154"
"china", "04/03/21", "34"
"china", "06/17/21", "42"
"china", "08/04/21", "119"
"china", "09/15/21", "73"
"china", "11/05/21", "92"
"china", "12/29/21", "215"
"china", "04/12/22", "23,101"
"colombia", "08/14/20", "10,101"
"colombia", "10/31/20", "8,577"
"colombia", "01/18/21", "15,411"
"colombia", "06/25/21", "27,187"
"colombia", "11/24/21", "2,164"
"colombia", "01/15/22", "26,747"
"colombia", "06/21/22", "2,814"
"congo", "07/18/20", "118"
"congo", "09/05/20", "130"
"congo", "12/24/20", "101"
"congo", "02/22/21", "57"
"congo", "04/23/21", "85"
"congo", "06/05/21", "53"
"congo", "10/26/21", "131"
"congo", "01/05/22", "251"
"congo", "05/31/22", "7"
"costa_rica", "03/26/20", "23"
"costa_rica", "09/10/20", "1,219"
"costa_rica", "11/25/20", "1,096"
"costa_rica", "01/06/21", "1,185"
"costa_rica", "05/12/21", "2,465"
"costa_rica", "09/08/21", "2,496"
"costa_rica", "02/02/22", "5,642"
"costa_rica", "05/30/22", "1,985"
"cote_d_ivoire", "06/18/20", "313"
"cote_d_ivoire", "09/06/20", "88"
"cote_d_ivoire", "01/23/21", "245"
"cote_d_ivoire", "03/23/21", "377"
"cote_d_ivoire", "06/13/21", "52"
"cote_d_ivoire", "08/31/21", "279"
"cote_d_ivoire", "12/30/21", "1,138"
"cote_d_ivoire", "06/24/22", "44"
"croatia", "03/30/20", "67"
"croatia", "07/17/20", "81"
"croatia", "08/28/20", "259"
"croatia", "12/11/20", "3,378"
"croatia", "04/16/21", "2,122"
"croatia", "11/12/21", "5,169"
"croatia", "01/21/22", "8,318"
"croatia", "06/24/22", "506"
"cuba", "04/11/20", "47"
"cuba", "09/17/20", "53"
"cuba", "11/03/20", "55"
"cuba", "02/02/21", "797"
"cuba", "08/22/21", "8,179"
"cuba", "01/16/22", "2,892"
"cuba", "03/26/22", "734"
"cuba", "06/22/22", "21"
"czechia", "04/02/20", "236"
"czechia", "10/29/20", "11,001"
"czechia", "01/08/21", "12,064"
"czechia", "03/05/21", "11,611"
"czechia", "07/16/21", "219"
"czechia", "11/25/21", "16,426"
"czechia", "01/28/22", "32,234"
"czechia", "06/23/22", "525"
"democratic_republic_of_congo", "06/19/20", "141"
"democratic_republic_of_congo", "01/12/21", "216"
"democratic_republic_of_congo", "04/23/21", "89"
"democratic_republic_of_congo", "06/25/21", "333"
"democratic_republic_of_congo", "12/18/21", "1,064"
"democratic_republic_of_congo", "04/12/22", "39"
"democratic_republic_of_congo", "05/31/22", "165"
"denmark", "04/06/20", "288"
"denmark", "12/17/20", "3,121"
"denmark", "03/13/21", "754"
"denmark", "05/14/21", "931"
"denmark", "07/15/21", "891"
"denmark", "02/11/22", "41,358"
"denmark", "06/22/22", "1,507"
"djibouti", "04/17/20", "78"
"djibouti", "06/02/20", "163"
"djibouti", "08/05/20", "36"
"djibouti", "10/21/20", "11"
"djibouti", "12/16/20", "8"
"djibouti", "04/08/21", "173"
"djibouti", "10/01/21", "96"
"djibouti", "01/12/22", "102"
"djibouti", "03/12/22", "3"
"djibouti", "05/18/22", "6"
"dominican_republic", "07/25/20", "1,337"
"dominican_republic", "01/19/21", "1,529"
"dominican_republic", "06/04/21", "1,185"
"dominican_republic", "11/13/21", "994"
"dominican_republic", "01/12/22", "5,492"
"dominican_republic", "06/14/22", "778"
"ecuador", "04/22/20", "1,957"
"ecuador", "08/07/20", "1,060"
"ecuador", "09/11/20", "1,215"
"ecuador", "10/26/20", "1,208"
"ecuador", "01/15/21", "1,425"
"ecuador", "04/24/21", "1,946"
"ecuador", "06/28/21", "1,289"
