"state", "date_peak", "cases_peak"
"canada", "09/23/21", "40,387"
"canada", "12/05/21", "57,691"
"canada", "04/22/22", "7,750"
"canada", "06/05/22", "3,366"
"central_african_republic", "05/29/21", "2,534"
"central_african_republic", "09/20/21", "13,978"
"central_african_republic", "10/19/21", "12,026"
"central_african_republic", "12/02/21", "1,828"
"central_african_republic", "01/13/22", "19,882"
"central_african_republic", "02/16/22", "17,861"
"central_african_republic", "04/29/22", "14,227"
"central_african_republic", "05/20/22", "9,974"
"central_african_republic", "07/01/22", "19,392"
"chad", "07/05/21", "881"
"chad", "09/17/21", "5,397"
"chad", "12/03/21", "1,818"
"chad", "01/14/22", "7,084"
"chad", "04/07/22", "182,149"
"chad", "06/03/22", "315"
"chile", "02/11/21", "178,116"
"chile", "03/25/21", "112,661"
"chile", "05/27/21", "128,678"
"chile", "09/30/21", "81,847"
"chile", "12/12/21", "20,725"
"chile", "05/26/22", "1,839"
"chile", "07/21/22", "1,145"
"china", "06/08/21", "88,857,143"
"china", "08/24/21", "64,357,143"
"china", "11/17/21", "17,736,857"
"china", "12/26/21", "4,995,286"
"china", "03/16/22", "644,143"
"china", "07/20/22", "430,000"
"colombia", "03/16/21", "146,086"
"colombia", "06/01/21", "280,601"
"colombia", "08/03/21", "294,310"
"colombia", "10/04/21", "157,620"
"colombia", "12/20/21", "1,127,930"
"colombia", "03/26/22", "37,540"
"colombia", "05/11/22", "11,263"
"colombia", "06/01/22", "11,137"
"congo", "04/12/21", "2,042"
"congo", "05/10/21", "3,408"
"congo", "06/21/21", "5,773"
"congo", "08/10/21", "4,039"
"congo", "11/02/21", "13,526"
"congo", "12/26/21", "10,392"
"congo", "02/12/22", "7,568"
"congo", "05/13/22", "1,629"
"congo", "07/15/22", "247"
"costa_rica", "01/16/21", "2,787"
"costa_rica", "03/03/21", "12,127"
"costa_rica", "04/17/21", "13,757"
"costa_rica", "06/05/21", "29,602"
"costa_rica", "07/24/21", "84,391"
"costa_rica", "09/25/21", "18,965"
"costa_rica", "10/30/21", "21,993"
"costa_rica", "02/26/22", "6,186"
"costa_rica", "07/20/22", "2,702"
"cote_d_ivoire", "05/21/21", "20,883"
"cote_d_ivoire", "08/03/21", "18,120"
"cote_d_ivoire", "10/09/21", "110,950"
"cote_d_ivoire", "12/29/21", "234,925"
"cote_d_ivoire", "03/06/22", "163,257"
"cote_d_ivoire", "04/08/22", "116,553"
"cote_d_ivoire", "07/01/22", "171,867"
"croatia", "01/17/21", "2,822"
"croatia", "05/07/21", "23,207"
"croatia", "09/30/21", "3,354"
"croatia", "11/15/21", "14,880"
"croatia", "07/06/22", "40"
"cuba", "06/03/21", "133,103"
"cuba", "08/02/21", "147,858"
"cuba", "09/18/21", "179,087"
"cuba", "12/19/21", "15,814"
"cuba", "04/04/22", "1,032"
"czechia", "01/21/21", "10,379"
"czechia", "03/11/21", "29,740"
"czechia", "05/13/21", "60,641"
"czechia", "11/25/21", "14,984"
"czechia", "07/14/22", "110"
"democratic_republic_of_congo", "05/24/21", "1,206"
"democratic_republic_of_congo", "07/22/21", "7,953"
"democratic_republic_of_congo", "09/28/21", "2,094"
"democratic_republic_of_congo", "02/13/22", "23,711"
"democratic_republic_of_congo", "04/04/22", "6,818"
"democratic_republic_of_congo", "05/20/22", "156,243"
"denmark", "01/05/21", "8,295"
"denmark", "02/28/21", "14,392"
"denmark", "06/10/21", "42,876"
"denmark", "12/15/21", "10,655"
"denmark", "05/23/22", "62"
"djibouti", "04/15/21", "1,464"
"djibouti", "08/01/21", "2,712"
"djibouti", "01/15/22", "12,133"
"djibouti", "04/01/22", "677"
"djibouti", "06/11/22", "1,850"
"dominican_republic", "03/04/21", "49,838"
"dominican_republic", "05/13/21", "105,836"
"dominican_republic", "08/26/21", "9,354"
"dominican_republic", "10/20/21", "44,956"
"dominican_republic", "02/17/22", "7,696"
"dominican_republic", "06/30/22", "576"
"dominican_republic", "07/21/22", "537"
"ecuador", "04/30/21", "44,699"
"ecuador", "07/15/21", "289,152"
"ecuador", "10/23/21", "67,583"
"ecuador", "01/13/22", "21,470"
"ecuador", "04/07/22", "32,042"
"ecuador", "07/21/22", "929"
"egypt", "01/28/21", "188"
"egypt", "05/23/21", "96,981"
"egypt", "10/06/21", "348,320"
"egypt", "01/06/22", "402,376"
"egypt", "03/18/22", "476,964"
"egypt", "05/28/22", "172,520"
"egypt", "06/27/22", "363,944"
"el_salvador", "04/15/21", "40,520"
"el_salvador", "07/28/21", "42,018"
"el_salvador", "01/23/22", "5,608"
"el_salvador", "05/18/22", "1,043"
"el_salvador", "07/24/22", "1,556"
"equatorial_guinea", "05/20/21", "10,211"
"equatorial_guinea", "07/19/21", "1,716"
"equatorial_guinea", "10/07/21", "1,328"
"equatorial_guinea", "01/16/22", "233"
"equatorial_guinea", "02/24/22", "865"
"equatorial_guinea", "06/17/22", "301"
"estonia", "04/07/21", "5,011"
"estonia", "05/20/21", "4,713"
"estonia", "08/05/21", "3,479"
"estonia", "10/28/21", "1,887"
"estonia", "05/11/22", "57"
"estonia", "07/21/22", "42"
"eswatini", "04/06/21", "3,943"
"eswatini", "06/24/21", "286"
"eswatini", "08/10/21", "4,419"
"eswatini", "09/06/21", "12,076"
"eswatini", "12/06/21", "4,430"
"eswatini", "01/23/22", "1,916"
"eswatini", "03/12/22", "835"
"eswatini", "04/24/22", "180"
"eswatini", "07/01/22", "3,291"
"ethiopia", "05/01/21", "105,467"
"ethiopia", "07/15/21", "10,205"
"ethiopia", "09/22/21", "48,018"
"ethiopia", "11/25/21", "427,068"
"ethiopia", "02/20/22", "1,008,479"
"ethiopia", "06/24/22", "2,140,688"
"finland", "05/07/21", "29,411"
"finland", "06/18/21", "32,289"
"finland", "08/20/21", "13,774"
"finland", "10/15/21", "3,336"
"finland", "02/03/22", "19,414"
"finland", "03/14/22", "5,721"
"finland", "05/23/22", "285"
"france", "01/21/21", "95,995"
"france", "05/20/21", "378,274"
"france", "07/29/21", "358,225"
"france", "01/06/22", "39,725"
"france", "05/05/22", "1,413"
"france", "07/07/22", "1,318"
"gabon", "03/31/21", "348"
"gabon", "06/21/21", "2,090"
"gabon", "08/10/21", "1,487"
"gabon", "09/14/21", "2,293"
"gabon", "10/12/21", "2,019"
"gabon", "12/11/21", "4,734"
"gabon", "01/14/22", "8,263"
"gabon", "03/15/22", "2,813"
"gabon", "05/20/22", "1,052"
"gabon", "07/08/22", "88"
"gambia", "04/07/21", "1,627"
"gambia", "05/29/21", "482"
"gambia", "08/26/21", "20,549"
"gambia", "10/20/21", "6,016"
"gambia", "01/19/22", "7,828"
"gambia", "05/20/22", "10,103"
"georgia", "05/13/21", "3,188"
"georgia", "07/25/21", "16,153"
"georgia", "12/06/21", "9,663"
"georgia", "01/30/22", "6,207"
"georgia", "07/10/22", "596"
"germany", "01/14/21", "70,341"
"germany", "04/29/21", "549,084"
"germany", "08/26/21", "101,070"
"germany", "11/25/21", "101,502"
"germany", "06/30/22", "1,144"
"ghana", "03/08/21", "42,857"
"ghana", "04/10/21", "34,621"
"ghana", "05/29/21", "597"
"ghana", "07/03/21", "1,839"
"ghana", "10/19/21", "76,045"
"ghana", "12/21/21", "446,136"
"ghana", "02/23/22", "188,635"
"ghana", "04/29/22", "70,167"
"ghana", "06/17/22", "80,767"
"greece", "03/04/21", "21,888"
"greece", "05/20/21", "61,207"
"greece", "09/02/21", "18,740"
"greece", "12/04/21", "16,666"
"greece", "07/07/22", "151"
"guatemala", "03/14/21", "6,529"
"guatemala", "06/17/21", "18,328"
"guatemala", "08/04/21", "62,398"
"guatemala", "09/12/21", "63,743"
"guatemala", "11/23/21", "27,585"
"guatemala", "01/19/22", "15,162"
"guatemala", "03/28/22", "37,883"
"guinea", "03/21/21", "4,883"
"guinea", "05/27/21", "9,697"
"guinea", "07/02/21", "12,042"
"guinea", "09/22/21", "30,009"
"guinea", "01/18/22", "130,439"
"guinea", "03/19/22", "10,938"
"guinea", "04/29/22", "143,490"
"guinea", "06/17/22", "8,479"
"guinea", "07/15/22", "12,440"
"guinea_bissau", "06/06/21", "1,831"
"guinea_bissau", "08/07/21", "585"
"guinea_bissau", "09/20/21", "8,448"
"guinea_bissau", "11/06/21", "18,712"
"guinea_bissau", "02/12/22", "9,927"
"guinea_bissau", "04/22/22", "31"
"guinea_bissau", "06/03/22", "1,413"
"haiti", "08/04/21", "1,071"
"haiti", "10/29/21", "2,408"
"haiti", "12/15/21", "623"
"haiti", "01/28/22", "2,003"
"haiti", "03/21/22", "578"
"haiti", "04/13/22", "988"
"haiti", "06/15/22", "4,026"
"honduras", "03/19/21", "5,770"
"honduras", "08/01/21", "43,014"
"honduras", "08/27/21", "136,549"
"honduras", "10/20/21", "45,757"
"honduras", "11/27/21", "58,268"
"honduras", "12/27/21", "74,217"
"honduras", "02/02/22", "15,899"
"honduras", "05/04/22", "95,569"
"hong_kong", "03/20/21", "21,461"
"hong_kong", "04/18/21", "18,045"
"hong_kong", "08/05/21", "29,683"
"hong_kong", "11/28/21", "5,877"
"hong_kong", "02/17/22", "34,575"
"hungary", "04/08/21", "67,579"
"hungary", "08/31/21", "10,607"
"hungary", "11/26/21", "11,120"
"hungary", "01/11/22", "3,710"
"hungary", "07/24/22", "82"
"india", "04/08/21", "2,886,732"
"india", "06/24/21", "5,101,700"
"india", "08/30/21", "5,933,929"
"india", "12/01/21", "2,172,583"
"india", "01/07/22", "4,804,730"
"india", "03/24/22", "1,608,531"
"india", "07/13/22", "174,848"
"indonesia", "03/24/21", "263,465"
"indonesia", "07/16/21", "757,896"
"indonesia", "10/15/21", "1,025,836"
"indonesia", "12/31/21", "1,272,300"
"indonesia", "06/13/22", "49,789"
"indonesia", "07/10/22", "82,819"
"iran", "06/06/21", "168,183"
"iran", "08/07/21", "492,247"
"iran", "09/25/21", "968,166"
"iran", "02/21/22", "124,332"
"iran", "07/13/22", "21,889"
"iraq", "04/21/21", "14,352"
"iraq", "06/06/21", "21,278"
"iraq", "07/03/21", "21,518"
"iraq", "09/09/21", "482,510"
"iraq", "11/13/21", "95,709"
"iraq", "01/24/22", "32,170"
"iraq", "02/11/22", "37,672"
"iraq", "06/12/22", "14,322"
"ireland", "01/10/21", "7,784"
"ireland", "05/19/21", "31,710"
"ireland", "07/20/21", "28,375"
"ireland", "10/21/21", "1,547"
"ireland", "01/14/22", "6,533"
"israel", "12/30/20", "111,286"
"israel", "07/07/21", "13,802"
"israel", "08/25/21", "8,074"
"israel", "10/02/21", "7,220"
"israel", "12/29/21", "8,309"
"israel", "03/30/22", "117"
"israel", "06/22/22", "82"
"italy", "01/14/21", "73,291"
"italy", "06/10/21", "408,100"
"italy", "08/05/21", "147,301"
"italy", "01/13/22", "69,194"
"italy", "07/14/22", "503"
"jamaica", "04/11/21", "12,535"
"jamaica", "05/12/21", "1,525"
"jamaica", "06/23/21", "1,393"
"jamaica", "08/23/21", "14,435"
"jamaica", "11/18/21", "2,841"
"jamaica", "01/10/22", "1,638"
"jamaica", "06/01/22", "843"
"japan", "07/08/21", "897,708"
"japan", "09/06/21", "618,588"
"japan", "01/17/22", "12,641"
"japan", "03/28/22", "34,022"
"japan", "07/18/22", "4,079"
"jordan", "01/21/21", "4,286"
"jordan", "04/17/21", "28,924"
"jordan", "06/09/21", "69,491"
"jordan", "08/12/21", "34,013"
"jordan", "10/26/21", "10,326"
"jordan", "12/07/21", "8,875"
"jordan", "01/17/22", "29,293"
"jordan", "03/29/22", "3,979"
"jordan", "05/11/22", "1,356"
"jordan", "06/26/22", "2,254"
"kazakhstan", "04/20/21", "69,274"
"kazakhstan", "07/12/21", "83,100"
"kazakhstan", "02/02/22", "9,207"
"kazakhstan", "06/08/22", "1,081"
"kazakhstan", "07/21/22", "1,143"
"kenya", "04/06/21", "37,179"
"kenya", "08/23/21", "48,610"
"kenya", "10/18/21", "37,361"
"kenya", "12/17/21", "79,305"
"kenya", "02/11/22", "116,670"
"kenya", "03/22/22", "134,272"
"kenya", "05/06/22", "388,138"
"kuwait", "03/06/21", "26,429"
"kuwait", "04/16/21", "46,000"
"kuwait", "07/01/21", "90,021"
"kuwait", "11/28/21", "264,632"
"kuwait", "02/25/22", "1,200"
"kuwait", "03/15/22", "1,893"
"kuwait", "06/13/22", "474"
"kyrgyzstan", "04/26/21", "3,557"
"kyrgyzstan", "06/07/21", "7,294"
"kyrgyzstan", "07/30/21", "51,721"
"kyrgyzstan", "12/24/21", "6,006"
"kyrgyzstan", "02/16/22", "4,846"
"kyrgyzstan", "05/17/22", "1,196"
"laos", "03/15/21", "5,819"
"laos", "05/13/21", "52,487"
"laos", "06/24/21", "18,668"
"laos", "08/15/21", "66,651"
"laos", "11/21/21", "70,397"
"laos", "01/01/22", "120,820"
"laos", "03/16/22", "35,145"
"latvia", "01/14/21", "1,276"
"latvia", "05/13/21", "9,762"
"latvia", "07/08/21", "3,871"
"latvia", "10/21/21", "9,973"
"lebanon", "03/13/21", "11,686"
"lebanon", "06/26/21", "15,583"
"lebanon", "08/26/21", "9,639"
"lebanon", "12/13/21", "15,144"
"lebanon", "04/23/22", "22,000"
"lebanon", "06/17/22", "1,392"
"lesotho", "04/15/21", "2,286"
"lesotho", "05/16/21", "2,948"
"lesotho", "09/18/21", "25,368"
"lesotho", "11/15/21", "33,432"
"lesotho", "12/29/21", "19,051"
"lesotho", "06/24/22", "19,187"
"liberia", "05/10/21", "5,201"
"liberia", "10/19/21", "25,391"
"liberia", "12/13/21", "25,624"
"liberia", "01/05/22", "33,449"
"liberia", "04/24/22", "100,519"
"liberia", "06/24/22", "101,042"
"libya", "05/30/21", "19,619"
"libya", "08/07/21", "23,613"
"libya", "10/29/21", "7,496"
"libya", "12/02/21", "7,746"
"libya", "01/08/22", "11,354"
"libya", "05/24/22", "4,231"
"lithuania", "01/14/21", "3,959"
"lithuania", "04/08/21", "13,486"
"lithuania", "06/04/21", "13,626"
"lithuania", "08/05/21", "10,530"
"lithuania", "07/13/22", "38"
"madagascar", "06/13/21", "10,256"
"madagascar", "10/18/21", "26,376"
"madagascar", "11/20/21", "13,156"
"madagascar", "01/03/22", "32,626"
"madagascar", "02/03/22", "23,047"
"madagascar", "05/06/22", "15,023"
"madagascar", "07/08/22", "3,695"
"malawi", "03/26/21", "12,286"
"malawi", "08/13/21", "14,953"
"malawi", "10/08/21", "6,174"
"malawi", "12/17/21", "13,355"
"malawi", "03/11/22", "4,887"
"malawi", "05/27/22", "64,387"
"malawi", "07/08/22", "11,140"
"malaysia", "03/11/21", "22,249"
"malaysia", "07/29/21", "302,514"
"malaysia", "02/20/22", "49,181"
"malaysia", "05/13/22", "13,227"
"mali", "04/10/21", "3,655"
"mali", "06/08/21", "3,067"
"mali", "08/30/21", "8,192"
"mali", "11/22/21", "39,103"
"mali", "01/19/22", "11,268"
"mali", "02/23/22", "11,174"
"mali", "06/03/22", "24,776"
"mauritania", "06/21/21", "13,304"
"mauritania", "08/03/21", "3,823"
"mauritania", "10/16/21", "57,225"
"mauritania", "12/31/21", "37,869"
"mauritania", "06/03/22", "51,059"
"mauritius", "03/22/21", "16,211"
"mauritius", "05/10/21", "13,551"
"mauritius", "06/22/21", "34,052"
"mauritius", "08/04/21", "7,090"
"mauritius", "10/05/21", "2,038"
"mauritius", "12/21/21", "2,933"
"mauritius", "05/27/22", "5,685"
"mauritius", "07/08/22", "6,234"
"mexico", "01/16/21", "56,158"
"mexico", "04/01/21", "286,022"
